bat,date,trial,condition,catchTrial,temperature_C,humidity_pct,call_number,timestamp_s,timestamp_left_s,timestamp_right_s,duration_ms,ipi_ms,peakFreq_kHz,startFreq_kHz,startFreq_low_kHz,startFreq_high_kHz,endFreq_kHz,bandwidth_kHz,slope_kHz_per_ms,peakAmp_rear,peakAmp_left,peakAmp_right
mybat,1999-09-09,66,asfdgdsafg,1,99,0,1,0.328584,0.32874,0.329868,3.424,237.92,32.2265625,50.78125,40.52734375,50.78125,22.4609375,18.06640625,-8.27111930490654,3.22210417762462e-08,1.28745866751293e-08,2.29650000475297e-08
mybat,1999-09-09,66,asfdgdsafg,1,99,0,2,0.566504,0.566628,0.568152,2.732,159.184,34.66796875,52.734375,43.9453125,52.734375,31.25,12.6953125,-7.86397327964861,5.14314955558155e-07,6.02722211446302e-08,4.43130473871136e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,3,0.725688,0.725904,0.727444,3.336,274.572,36.1328125,51.7578125,44.43359375,51.7578125,28.80859375,15.625,-6.87926221522782,2.95403840471432e-07,2.13393917256907e-09,1.7455001316748e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,4,1.00026,1.000824,1.001788,3.54,73.156,33.203125,48.33984375,41.015625,48.33984375,27.34375,13.671875,-5.93109992937853,1.34616130998604e-06,1.25578671935477e-07,5.65517476474883e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,5,1.073416,1.073488,1.074968,3.252,169.692,34.1796875,52.734375,42.96875,52.734375,29.296875,13.671875,-7.20710332103321,4.80819541820778e-07,5.0387486344599e-08,2.23185063188444e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,6,1.243108,1.24334,1.244712,2.512,58.568,34.66796875,45.41015625,39.0625,45.41015625,30.76171875,8.30078125,-5.83138435509554,1.40677221106366e-07,1.28022083927566e-09,7.49778263720438e-08
mybat,1999-09-09,66,asfdgdsafg,1,99,0,7,1.301676,1.3017,1.3032,3,397.52,33.69140625,50.29296875,41.50390625,50.29296875,26.85546875,14.6484375,-7.8125,3.35307684728248e-07,1.79515782684219e-08,1.41120920124005e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,8,1.699196,1.699788,1.700644,3.168,672.764,37.109375,47.8515625,42.96875,47.8515625,28.80859375,14.16015625,-6.0110381155303,1.91418947553291e-07,2.29238925773994e-09,1.55308799764274e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,9,2.37196,2.373252,2.374024,4.264,184.336,31.73828125,53.22265625,46.38671875,53.22265625,52.734375,25.390625,-0.114512488273921,1.46454468841569e-06,1.34926735850661e-06,5.24063087197444e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,10,2.556296,2.557256,2.557824,3.084,153.712,35.15625,50.78125,44.921875,50.78125,29.296875,15.625,-6.96639915693904,3.87328141871361e-07,8.7047248263383e-09,2.61492366073086e-07
