bat,date,trial,condition,catchTrial,temperature_C,humidity_pct,call_number,timestamp_s,timestamp_left_s,timestamp_right_s,duration_ms,ipi_ms,peakFreq_kHz,startFreq_kHz,endFreq_kHz,startFreq_low_kHz,startFreq_high_kHz,endFreq_ridge_kHz,endFreq_low_kHz,bandwidth_kHz,slope_kHz_per_ms,peakAmp_rear,peakAmp_left,peakAmp_right
A125,2025-07-02,1,One,0,23,77,1,1.753968,NaN,NaN,2.652,83.448,32.71484375,69.82421875,20.01953125,56.15234375,69.82421875,33.203125,20.01953125,24.90234375,-18.7800480769231,7.26139023311196e-08,NaN,NaN
A125,2025-07-02,1,One,0,23,77,2,1.837416,NaN,NaN,1.688,99.096,56.640625,69.82421875,20.01953125,56.640625,69.82421875,29.78515625,20.01953125,26.85546875,-29.5051466232227,5.00862759604991e-08,NaN,NaN
A125,2025-07-02,1,One,0,23,77,3,1.936512,NaN,NaN,2.988,102.5,29.296875,69.82421875,20.01953125,62.98828125,69.82421875,58.59375,20.01953125,33.69140625,-16.6682354417671,8.10509658270482e-08,NaN,NaN
A125,2025-07-02,1,One,0,23,77,4,2.039012,NaN,NaN,3.004,97.364,29.296875,69.82421875,20.01953125,60.546875,69.82421875,58.59375,20.01953125,31.25,-16.5794565579228,7.04466900958837e-08,NaN,NaN
A125,2025-07-02,1,One,0,23,77,5,2.136376,NaN,NaN,2.664,100.104,29.296875,69.82421875,20.01953125,56.15234375,69.82421875,58.59375,20.01953125,29.296875,-18.6954532657658,5.87499307829779e-08,NaN,NaN
A125,2025-07-02,1,One,0,23,77,6,2.23648,NaN,NaN,2.668,110.672,32.71484375,69.82421875,20.01953125,56.640625,69.82421875,65.4296875,20.01953125,36.1328125,-18.6674241004498,5.23727694428665e-08,NaN,NaN
A125,2025-07-02,1,One,0,23,77,7,2.347152,NaN,NaN,2.332,2160.396,29.296875,69.82421875,20.01953125,32.71484375,69.82421875,33.203125,20.01953125,3.90625,-21.3570701114923,6.93343248115683e-08,NaN,NaN
A125,2025-07-02,1,One,0,23,77,8,4.507548,NaN,NaN,2.24,185.188,26.3671875,69.82421875,20.01953125,34.1796875,69.82421875,33.69140625,20.01953125,7.8125,-22.2342354910714,1.59651204502818e-05,NaN,NaN
A125,2025-07-02,1,One,0,23,77,9,4.692736,NaN,NaN,2.724,30.88,28.3203125,68.84765625,20.01953125,27.83203125,68.84765625,27.34375,20.01953125,0.9765625,-17.925156020558,2.0620673962774e-06,NaN,NaN
A125,2025-07-02,1,One,0,23,77,10,4.723616,NaN,NaN,2.764,80.476,29.78515625,69.82421875,20.99609375,29.78515625,69.82421875,26.85546875,20.99609375,2.9296875,-17.665747105644,4.15666846147017e-06,NaN,NaN
A125,2025-07-02,1,One,0,23,77,11,4.804092,NaN,NaN,4.424,30.292,32.71484375,69.82421875,20.01953125,32.71484375,69.82421875,66.40625,20.01953125,37.109375,-11.2578407549729,8.10632573480289e-07,NaN,NaN
A125,2025-07-02,1,One,0,23,77,12,4.834384,NaN,NaN,4.476,36.896,34.1796875,69.82421875,22.4609375,34.1796875,69.82421875,63.4765625,22.4609375,40.52734375,-10.5816088583557,5.6648972733144e-07,NaN,NaN
A125,2025-07-02,1,One,0,23,77,13,4.87128,NaN,NaN,2.78,54.06,29.78515625,69.82421875,21.97265625,29.296875,69.82421875,65.91796875,21.97265625,37.109375,-17.2127922661871,6.94279059416999e-07,NaN,NaN
A125,2025-07-02,1,One,0,23,77,14,4.92534,NaN,NaN,2.792,87.776,34.66796875,69.82421875,21.484375,34.66796875,69.82421875,66.40625,21.484375,36.62109375,-17.3136976181948,3.04977106951824e-07,NaN,NaN
A125,2025-07-02,1,One,0,23,77,15,5.013116,NaN,NaN,2.812,35.224,34.1796875,69.82421875,20.01953125,34.1796875,69.82421875,66.89453125,20.01953125,35.64453125,-17.7114820412518,6.95300685632424e-07,NaN,NaN
A125,2025-07-02,1,One,0,23,77,16,5.04834,NaN,NaN,4.412,77.792,32.2265625,69.82421875,23.4375,37.59765625,69.82421875,64.94140625,23.4375,38.0859375,-10.5137621826836,5.43307010221951e-07,NaN,NaN
A125,2025-07-02,1,One,0,23,77,17,5.126132,NaN,NaN,4.3,35.704,33.203125,69.82421875,22.4609375,28.80859375,69.82421875,62.98828125,22.4609375,41.015625,-11.0147165697674,2.13667398304939e-07,NaN,NaN
A125,2025-07-02,1,One,0,23,77,18,5.161836,NaN,NaN,2.756,275.5,31.25,69.82421875,20.01953125,31.25,69.82421875,65.4296875,20.01953125,36.1328125,-18.0713670174165,1.72878713504138e-06,NaN,NaN
A125,2025-07-02,1,One,0,23,77,19,5.437336,NaN,NaN,4.052,39.676,34.1796875,69.82421875,25.390625,36.1328125,69.82421875,68.84765625,25.390625,37.109375,-10.9658424851925,1.73634756732081e-07,NaN,NaN
A125,2025-07-02,1,One,0,23,77,20,5.477012,NaN,NaN,3.812,74.388,69.3359375,69.82421875,20.01953125,37.59765625,69.82421875,69.3359375,20.01953125,38.0859375,-13.0652380640084,2.78028397349996e-07,NaN,NaN
A125,2025-07-02,1,One,0,23,77,21,5.5514,NaN,NaN,4.236,120.548,69.3359375,69.82421875,20.01953125,37.109375,69.82421875,63.96484375,20.01953125,35.64453125,-11.7574805240793,3.7638708157206e-07,NaN,NaN
A125,2025-07-02,1,One,0,23,77,22,5.671948,NaN,NaN,3.9,141.724,30.2734375,69.82421875,20.01953125,29.296875,69.82421875,62.5,20.01953125,37.59765625,-12.7704326923077,1.67439299602132e-07,NaN,NaN
A125,2025-07-02,1,One,0,23,77,23,5.813672,NaN,NaN,4.06,75.312,30.76171875,69.82421875,20.01953125,30.76171875,69.82421875,62.5,20.01953125,36.1328125,-12.267164408867,2.53451672504069e-07,NaN,NaN
A125,2025-07-02,1,One,0,23,77,24,5.888984,NaN,NaN,3.768,57.668,32.71484375,69.82421875,20.5078125,34.1796875,69.82421875,67.87109375,20.5078125,36.62109375,-13.0882182192144,2.89283065593712e-07,NaN,NaN
A125,2025-07-02,1,One,0,23,77,25,5.946652,NaN,NaN,3.928,38.904,32.71484375,69.82421875,20.01953125,37.59765625,69.82421875,65.91796875,20.01953125,37.109375,-12.6794010947047,2.50835854214125e-07,NaN,NaN
A125,2025-07-02,1,One,0,23,77,26,5.985556,NaN,NaN,3.812,81.108,68.84765625,69.82421875,20.99609375,36.62109375,69.82421875,65.91796875,20.99609375,39.0625,-12.8090569254984,3.68446224068845e-07,NaN,NaN
A125,2025-07-02,1,One,0,23,77,27,6.066664,NaN,NaN,3.98,89.38,67.3828125,69.82421875,20.01953125,36.62109375,69.82421875,65.91796875,20.01953125,38.57421875,-12.5137405778894,4.18063553073977e-07,NaN,NaN
